City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Sioux Lookout,CA,89.98,smoke,50.1001,-91.917,Knobby's Fly-In Camps
142,Lino Lakes,US,89.1,scattered clouds,45.1602,-93.0888,Hampton Inn & Suites Lino Lakes
147,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
149,Atuona,PF,77.94,clear sky,-9.8,-139.0333,Villa Enata
153,Ahuimanu,US,79.75,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
154,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
163,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
166,Bethel,US,85.05,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
175,Butaritari,KI,82.83,moderate rain,3.0707,172.7902,Isles Sunset Lodge
176,Upata,VE,87.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
185,Salmas,IR,76.19,broken clouds,38.1973,44.7653,Ata Hotel
190,Cockburn Town,TC,81.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
194,Namatanai,PG,77.95,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
198,Markova,UA,78.39,light rain,48.6758,24.4138,Vas.VOM
199,Lakatoro,VU,76.8,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
201,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
206,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
208,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
210,Baker City,US,86.94,clear sky,44.7749,-117.8344,Bridge Street Inn
211,Springdale,US,85.71,broken clouds,36.1867,-94.1288,Springdale Inn
217,Tuy Hoa,VN,76.8,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
220,Saint Anthony,US,88.92,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
222,Hereford,GB,83.93,clear sky,52.0568,-2.7148,The Green Dragon Hotel
226,Maryville,US,85.71,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
228,Yarada,IN,82.72,few clouds,17.65,83.2667,Jeevan
229,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
236,Winneba,GH,79.27,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
237,Swan River,CA,78.69,scattered clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
239,Kenai,US,76.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
243,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
245,Ugoofaaru,MV,83.03,overcast clouds,5.6667,73.0,Ungoofaaru Inn
246,Luanda,AO,75.2,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
249,Kahului,US,79.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
250,Guaruja,BR,83.8,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
251,Inirida,CO,82.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
